,Fecha,codigoSerial,pm2.5,calidad_pm2.5,pm10,calidad_pm10
356,2019-01-15 20:00:00,12,21.0,1.0,44.0,1.0
357,2019-01-15 21:00:00,12,21.0,1.0,55.0,1.0
358,2019-01-15 22:00:00,12,22.0,1.0,54.0,1.0
359,2019-01-15 23:00:00,12,18.0,1.0,35.0,1.0
360,2019-01-16 00:00:00,12,19.0,1.0,31.0,1.0
361,2019-01-16 01:00:00,12,13.0,1.0,35.0,1.0
362,2019-01-16 02:00:00,12,18.0,1.0,35.0,1.0
363,2019-01-16 03:00:00,12,22.0,1.0,42.0,1.0
364,2019-01-16 04:00:00,12,17.0,1.0,38.0,1.0
365,2019-01-16 05:00:00,12,25.0,1.0,52.0,1.0
366,2019-01-16 06:00:00,12,9.0,2.1,37.0,1.0
367,2019-01-16 07:00:00,12,24.0,1.0,38.0,1.0
368,2019-01-16 08:00:00,12,35.0,1.0,75.0,1.0
369,2019-01-16 09:00:00,12,40.0,1.0,73.0,1.0
370,2019-01-16 10:00:00,12,33.0,1.0,76.0,1.0
371,2019-01-16 11:00:00,12,34.0,1.0,81.0,1.0
372,2019-01-16 12:00:00,12,48.0,1.0,71.0,1.0
373,2019-01-16 13:00:00,12,55.0,1.0,70.0,1.0
374,2019-01-16 14:00:00,12,38.0,1.0,85.0,1.0
375,2019-01-16 15:00:00,12,29.0,1.0,60.0,1.0
376,2019-01-16 16:00:00,12,14.0,1.0,30.0,1.0
377,2019-01-16 17:00:00,12,15.0,1.0,34.0,1.0
378,2019-01-16 18:00:00,12,24.0,1.0,44.0,1.0
379,2019-01-16 19:00:00,12,20.0,1.0,53.0,1.0
380,2019-01-16 20:00:00,12,34.0,1.0,64.0,1.0
381,2019-01-16 21:00:00,12,27.0,1.0,58.0,1.0
382,2019-01-16 22:00:00,12,23.0,1.0,44.0,1.0
383,2019-01-16 23:00:00,12,24.0,1.0,38.0,1.0
384,2019-01-17 00:00:00,12,23.0,1.0,35.0,1.0
385,2019-01-17 01:00:00,12,19.0,1.0,36.0,1.0
386,2019-01-17 02:00:00,12,27.0,1.0,44.0,1.0
387,2019-01-17 03:00:00,12,21.0,1.0,37.0,1.0
388,2019-01-17 04:00:00,12,17.0,1.0,38.0,1.0
389,2019-01-17 05:00:00,12,30.0,1.0,49.0,1.0
390,2019-01-17 06:00:00,12,33.0,1.0,57.0,1.0
391,2019-01-17 07:00:00,12,38.0,1.0,69.0,1.0
392,2019-01-17 08:00:00,12,36.0,1.0,78.0,1.0
393,2019-01-17 09:00:00,12,47.0,1.0,84.0,1.0
394,2019-01-17 10:00:00,12,42.0,1.0,74.0,1.0
395,2019-01-17 11:00:00,12,35.0,1.0,65.0,1.0
396,2019-01-17 12:00:00,12,31.0,1.0,51.0,1.0
397,2019-01-17 13:00:00,12,28.0,1.0,74.0,1.0
398,2019-01-17 14:00:00,12,40.0,1.0,68.0,1.0
399,2019-01-17 15:00:00,12,47.0,1.0,69.0,1.0
400,2019-01-17 16:00:00,12,47.0,1.0,79.0,1.0
401,2019-01-17 17:00:00,12,43.0,1.0,87.0,1.0
402,2019-01-17 18:00:00,12,40.0,2.3,97.0,1.0
403,2019-01-17 19:00:00,12,35.0,2.3,85.0,2.3
404,2019-01-17 20:00:00,12,33.0,1.0,71.0,1.0
405,2019-01-17 21:00:00,12,36.0,1.0,55.0,1.0
406,2019-01-17 22:00:00,12,20.0,1.0,64.0,1.0
407,2019-01-17 23:00:00,12,21.0,1.0,51.0,1.0
408,2019-01-18 00:00:00,12,19.0,1.0,45.0,1.0
409,2019-01-18 01:00:00,12,26.0,1.0,44.0,1.0
410,2019-01-18 02:00:00,12,30.0,1.0,35.0,1.0
411,2019-01-18 03:00:00,12,31.0,1.0,46.0,1.0
412,2019-01-18 04:00:00,12,25.0,1.0,44.0,1.0
413,2019-01-18 05:00:00,12,25.0,1.0,46.0,1.0
414,2019-01-18 06:00:00,12,34.0,1.0,69.0,1.0
415,2019-01-18 07:00:00,12,36.0,1.0,86.0,1.0
416,2019-01-18 08:00:00,12,51.0,1.0,93.0,1.0
417,2019-01-18 09:00:00,12,43.0,1.0,87.0,1.0
418,2019-01-18 10:00:00,12,33.0,1.0,61.0,1.0
419,2019-01-18 11:00:00,12,37.0,1.0,68.0,1.0
420,2019-01-18 12:00:00,12,55.0,1.0,64.0,1.0
421,2019-01-18 13:00:00,12,38.0,1.0,73.0,1.0
422,2019-01-18 14:00:00,12,31.0,1.0,74.0,1.0
423,2019-01-18 15:00:00,12,22.0,1.0,31.0,1.0
424,2019-01-18 16:00:00,12,21.0,1.0,34.0,1.0
425,2019-01-18 17:00:00,12,27.0,1.0,47.0,1.0
426,2019-01-18 18:00:00,12,14.0,1.0,39.0,1.0
427,2019-01-18 19:00:00,12,29.0,1.0,74.0,1.0
428,2019-01-18 20:00:00,12,29.0,1.0,68.0,1.0
429,2019-01-18 21:00:00,12,26.0,1.0,69.0,1.0
430,2019-01-18 22:00:00,12,29.0,1.0,62.0,1.0
431,2019-01-18 23:00:00,12,31.0,1.0,46.0,1.0
432,2019-01-19 00:00:00,12,30.0,1.0,34.0,1.0
433,2019-01-19 01:00:00,12,19.0,1.0,34.0,1.0
434,2019-01-19 02:00:00,12,19.0,1.0,41.0,1.0
435,2019-01-19 03:00:00,12,17.0,1.0,43.0,1.0
436,2019-01-19 04:00:00,12,21.0,1.0,47.0,1.0
437,2019-01-19 05:00:00,12,24.0,1.0,40.0,1.0
438,2019-01-19 06:00:00,12,26.0,1.0,44.0,1.0
439,2019-01-19 07:00:00,12,40.0,1.0,63.0,1.0
440,2019-01-19 08:00:00,12,48.0,1.0,87.0,1.0
441,2019-01-19 09:00:00,12,41.0,1.0,84.0,1.0
